2018-05-20 14:47:59.955739 631497808669 32300000000000 25136533199 71526259059985 101000000000 274115160956 256382647713 0 
2018-05-21 16:39:16.955739 1818685423471 32300000000000 25771853895 73344944483456 0 900208869889 918476553582 0 
2018-05-22 14:47:44.955739 1382279673095 38300000000000 26252747337 74727224156551 101000000000 661223556141 620056116954 0 
2018-05-23 12:44:31.955739 1231625811008 38300000000000 26381782407 75958849967559 0 595421364815 636204446193 0 
2018-05-24 12:26:57.955739 930311954569 38300000000000 26475366605 76889161922128 0 465109805220 465202149349 0 
2018-05-25 19:15:25.955739 3312871703258 38300000000000 26570396604 80202033625386 0 1655935854091 1656935849167 0 
2018-05-26 12:29:46.955739 8657718355634 38300000000000 29395486216 88859751981020 4022522964632 2317408695818 2317786695184 0 
2018-05-27 12:09:14.955739 481996738657 38300000000000 29648661802 89341748719677 0 241394351754 240602386903 0 
2018-05-28 13:27:25.955739 4365824284864 38300000000000 32180560718 93707573004541 0 2182267790289 2183556494575 0 
2018-05-29 15:12:25.955739 3577263521166 38300000000000 33671892849 97284836525707 48009589927 1763973534782 1765280396457 0 
2018-05-30 11:58:23.955739 605023141776 38300000000000 33694451490 97889859667483 6915663368 299042762462 299064715946 0 
2018-05-31 12:32:40.955739 4258162889449 38300000000000 36454799299 102148022556932 2504245036694 876941971847 876975880908 0 
2018-06-01 14:15:40.955739 501839770850 38300000000000 36455370191 102649862327782 101000000000 200419664979 200420105871 0 
2018-06-02 15:14:12.955739 1000963159208 38300000000000 36455550275 103650825486990 0 507043678948 493919480260 0 
2018-06-03 12:10:09.955739 1209453893641 45300000000000 36781658464 104860279380631 0 598010868338 611443025303 0 
2018-06-04 13:04:58.955739 5278319282328 46300000000000 36807501309 110138598662959 4134185325000 572065701694 572068255634 0 
2018-06-05 12:18:12.955739 180069519465 46300000000000 37209766984 110318668182424 100996086815 39526880880 39546551770 0 
2018-06-06 12:00:49.955739 803244839837 50300000000000 37652369093 111121913022261 0 449721135315 353523704522 0 
2018-06-07 13:34:26.955739 777311043339 50300000000000 37757669093 111899224065600 101000000000 289838080625 386472962714 0 
2018-06-08 13:09:33.955739 1778120966432 50300000000000 37998945925 113677345032032 98040044287 857022406655 823058515490 0 
2018-06-09 11:59:01.955739 1644016982065 50300000000000 38570633590 115321362014097 0 805568793928 838448188137 0 
2018-06-10 12:43:18.955739 4314223687443 50300000000000 39491206437 119635585701540 0 2155820079151 2158403608292 0 
2018-06-11 12:04:14.955739 1898862022422 50300000000000 40139502559 121534447723962 2277085942 949007446287 947577490193 0 
2018-06-12 12:33:57.955739 2662413283210 50300000000000 42421889929 124196861007172 0 1329792357147 1332620926063 0 
2018-06-13 12:00:40.955739 1865334225769 50300000000000 42921208417 126062195232941 19326393801 924785587312 921222244656 0 
2018-06-14 13:43:17.955739 938414887612 50300000000000 43456358782 127000610120553 1106248411 466329930789 470978708412 0 
2018-06-15 12:27:50.955739 126693400780 50300000000000 43624321990 127127303521333 0 63344830554 63348570226 0 
2018-06-16 13:23:06.955739 121243155053 50300000000000 43643488511 127248546676386 0 62080044167 59163110886 0 
2018-06-17 13:02:21.955739 775228275317 50300000000000 44160154082 128023774951703 0 388718119070 386510156247 0 
2018-06-18 12:58:40.955739 822273103940 50300000000000 44705273052 128846048055643 0 408033620206 414239483734 0 
2018-06-19 17:42:45.955739 634577111092 50300000000000 45132587862 129480625166735 5005710140 314590700476 314980700476 0 
2018-06-20 16:05:50.955739 33582235087 50300000000000 45176924212 129514207401822 0 16880843622 16701391465 0 
2018-06-21 16:03:49.955739 24175452163 50300000000000 45196666231 129538382853985 0 11984717251 12190734912 0 
2018-06-22 14:23:29.955739 1241355084496 50300000000000 45970639777 130779737938481 0 620348347468 621006737028 0 
2018-06-23 12:14:44.955739 230741545486 50300000000000 46264288532 131010479483967 226186259787 2218134291 2337151408 0 
2018-06-24 13:23:01.955739 1909463076954 50300000000000 47127473069 132919942560921 127680943785 929449911869 852332221300 0 
2018-06-25 17:30:50.955739 225050345619 50300000000000 47170715288 133144992906540 9664032798 68796968463 146589344358 0 
2018-06-26 15:34:19.955739 1159253185125 50300000000000 47244181458 134304246091665 0 587786598845 571466586280 0 
2018-06-27 11:56:08.955739 975859123405 50300000000000 47335611675 135280105215070 2000000000 478668047275 495082039010 0 
2018-06-28 14:36:17.955739 483507147643 50300000000000 47467038206 135763612362713 26784066587 228292633995 228430447061 0 
2018-06-29 13:03:37.955739 1011120437600 50300000000000 47529455329 136774732800313 988235347 505045621010 505086581243 0 
2018-06-30 12:24:26.955739 536718665728 50300000000000 47625737104 137311451466041 0 268351402864 268367262864 0 
2018-07-01 20:03:11.955739 670312480914 50300000000000 47814830924 137981763946955 0 349208345506 321104135408 0 
2018-07-02 21:06:51.955739 1388893593503 50200000000000 47815609018 139370657540458 100051380345 630462784765 657379428393 0 
2018-07-03 15:28:51.955739 738362854271 50200000000000 48100973918 140109020394729 0 373947189797 364415664474 0 
2018-07-04 20:30:46.955739 71416405297 50200000000000 48126910590 140180436800026 0 30067028252 41349377045 0 
2018-07-05 13:22:26.955739 464328361013 50200000000000 51160848695 140644765161039 4000000000 229333132448 229334583297 0 
2018-07-06 12:25:59.955739 19987000000 50200000000000 51175148695 140664752161039 0 9987000000 10000000000 0 
2018-07-07 13:03:51.955739 98960693714 50200000000000 51237052991 140763712854753 0 4993500000 92963957051 0 
2018-07-08 12:25:22.955739 60848276016 50200000000000 51315542483 140824561130769 255904884 0 0 0 
2018-07-09 13:31:45.955739 409008838041 50200000000000 51356311180 141233569968810 313639178098 0 0 0 
2018-07-10 13:49:50.955739 375925462820 50200000000000 52157562259 141609495431630 0 0 0 0 
2018-07-11 13:42:56.955739 699227691893 50200000000000 52157562259 142308723123523 0 0 0 0 
2018-07-12 20:58:01.955739 986487689414 50200000000000 52268948656 143295210812937 0 0 0 997401690 
2018-07-13 12:34:20.955739 2086200750 50200000000000 52321495029 143297297013687 0 0 0 0 
2018-07-14 19:57:21.955739 60564346007 50200000000000 52321624891 143357861359694 0 0 0 0 
2018-07-15 20:21:24.955739 979913551498 50200000000000 53591704341 144337774911192 471763658415 0 0 480604519037 
2018-07-16 14:47:49.955739 6169738090066 50200000000000 59487814551 150507513001258 2893271946937 0 0 1030863185937 
2018-07-17 12:17:18.955739 988408574978 50200000000000 59940789253 151495921576236 0 0 0 140967047954 
2018-07-18 12:34:14.955739 2363222444181 50200000000000 61686406121 153859144020417 20008683380 0 0 467181256393 
2018-07-19 16:28:33.955739 10737985349049 50200000000000 68796501768 164597129369466 3365420148900 0 0 2381748050594 
2018-07-20 12:00:05.955739 2180852910984 50200000000000 71980567448 166777982280450 0 0 0 944612291669 
2018-07-21 11:55:22.955739 663135840911 50200000000000 73173941886 167441118121361 0 0 0 267019272876 
2018-07-22 12:49:56.955739 311866394268 50200000000000 73973294833 167752984515629 0 0 0 302837462737 
2018-07-23 12:07:22.955739 24684361996 54200000000000 74200018774 167777668877625 2144529334 0 0 996005328 
2018-07-24 13:17:02.955739 485797880109 54200000000000 74206518774 168263466757734 428254721028 0 0 0 
2018-07-25 17:20:26.955739 181290574013 54200000000000 74206518774 168444757331747 0 0 0 0 
2018-07-26 17:06:32.955739 268150027591 54200000000000 74239913025 168712907359338 17769407185 0 0 0 
2018-07-27 12:05:43.955739 122737757750 54200000000000 74253401606 168835645117088 2080000000 0 0 0 
2018-07-29 07:55:57.955739 1000000000 54200000000000 74253401606 168836645117088 1000000000 0 0 0 
